hotel,id,user_message,expected_intent,expected_response,tool_required,notes
kajuju,gq_001,Do you have a room free for this weekend?,Availability,"I can check that for you — which room type were you hoping for, and which weekend dates exactly?",true,No specific room type given; assistant should ask before or while calling check_availability rather than guessing a room.
kajuju,gq_002,Is the Cottage available from Aug 14 to Aug 17?,Availability,"Let me check the Cottage for Aug 14–17... [after tool result] Yes, the Cottage is available for those dates. It sleeps up to 6 and is self-catering with a full kitchen. Want me to help you book it?",true,Straightforward tool call with concrete room + dates.
kajuju,gq_003,Can I book the Penthouse Loft for next Friday and Saturday night?,Availability,"Checking the Penthouse Loft for Friday and Saturday night now... [after tool result] It looks available — the weekend rate is 14,000 KES single / 15,000 KES double per night. Shall I start the booking?",true,Tool call plus KB rate lookup once room/dates are confirmed available.
kajuju,gq_004,I want to check if you have any rooms open in December.,Availability,December can get busy with peak-season pricing. Do you have specific dates in mind so I can check availability precisely?,true,Vague date range — ask for specifics before/alongside the tool call.
kajuju,gq_005,Do you have space for 2 adults and 1 child next Tuesday?,Availability,"Let me check for next Tuesday... [after tool result] Yes, we have a room available. Just so you know, children under 6 stay free and ages 6–12 are charged at 50% of the adult rate.",true,Combines tool call with a KB policy fact once availability confirmed.
kajuju,gq_006,Is the whole lodge available for a buyout over New Year?,Availability,Let me check the Full Lodge Buyout for New Year... Also note that a full buyout requires a 3-night minimum stay during the festive period.,true,Tool call plus a minimum-stay policy fact from the KB.
kajuju,gq_007,Can I get a Twin Garden Room this Saturday only?,Availability,"Checking the Twin Garden Room for Saturday night... [after tool result] It’s available. The weekend rate is 10,000 KES single / 11,500 KES double.",true,Single-night weekend request.
kajuju,gq_008,"I need a room for 6 people this weekend, what do you have?",Availability,Our Cottage sleeps up to 6 and would be the best fit — let me check if it’s free this weekend. [after tool result] It’s available; it’s self-catering with a full kitchen.,true,"Assistant should recommend Cottage from capacity, then verify via tool rather than assume it’s free."
kajuju,gq_009,Any last-minute availability for tonight?,Availability,"Let me check what’s open tonight... Just a heads-up, standard check-in is from 1pm, so let me know your arrival time.",true,Same-day request; mention check-in policy.
kajuju,gq_010,Do you have anything free between the 3rd and 10th of next month?,Availability,"That’s a fairly wide window — would you like me to check the whole range, or do you have a preferred room type and specific nights?",true,Assistant may narrow scope before calling the tool for a large range.
kajuju,gq_011,I want to book the Deluxe Room with Balcony for our anniversary next month.,Availability,"Happy to help celebrate! Let me check the Deluxe Room with Balcony for your dates. By the way, we can also arrange a room decoration package (~3,500 KES, 24-hour notice) or a homemade cake (from ~1,800 KES, 48-hour notice) if you’d like.",true,Availability plus a KB-sourced upsell — no invented pricing.
kajuju,gq_012,Can 3 couples book 3 separate rooms for the same weekend?,Availability,Let me check what we have available across our room types for that weekend for 3 separate bookings.,true,Multi-room request across room types.
kajuju,gq_013,Is a room free tomorrow for just me?,Availability,"Checking for tomorrow, one guest... [after tool result] Yes, we have availability — would you like the Twin Garden Room or the Deluxe Room with Balcony?",true,"Single guest, one night."
kajuju,gq_014,"We are a family of 5, do you have something available in October half term?",Availability,"For 5 guests, the Cottage (sleeps up to 6) is usually the best fit. Let me check availability for your October dates.",true,Assistant should verify via tool rather than assume Cottage is free.
kajuju,gq_015,Can you check if the Jade room is open this Friday?,Availability,The Jade Room is one of our Deluxe Rooms with Balcony — let me check availability for this Friday.,true,Tests recognition of the alt room name (Jade/Coral = Deluxe with Balcony) from the KB.
kajuju,gq_016,How much is the Twin Garden Room on a weekday?,Rates,"On weekdays the Twin Garden Room is 9,000 KES for a single or 10,500 KES for a double, including breakfast.",false,
kajuju,gq_017,What are your weekend rates for the Deluxe Room with Balcony?,Rates,"Weekend rates for the Deluxe Room with Balcony are 11,500 KES single / 13,000 KES double, B&B included.",false,
kajuju,gq_018,How much does the Cottage cost per night?,Rates,"The Cottage is 10,000 KES/night on weekdays, 12,000 KES on weekends, and 18,000 KES during peak season — it’s for the whole unit (sleeps up to 6) and is self-catering.",false,
kajuju,gq_019,What would a full lodge buyout cost for New Year’s?,Rates,"A full lodge buyout during peak season (which New Year’s falls under) is 58,500 KES B&B per night, with a 3-night minimum stay during the festive period.",false,
kajuju,gq_020,Is breakfast included in the room price?,Rates,"Yes, for the Twin Garden Room and the Deluxe Room with Balcony, Bed & Breakfast is included. The Penthouse Loft and Cottage are self-catering instead.",false,
kajuju,gq_021,How much extra for full board?,Rates,"Full Board is an add-on at 3,300 KES per person per day, covering breakfast, lunch, and dinner.",false,
kajuju,gq_022,What’s the charge for an extra adult in the room?,Rates,"An extra adult is 4,000 KES per night, except in the Penthouse Loft, which is capped at 3 guests with no extra-guest add-on.",false,
kajuju,gq_023,Do kids stay free?,Rates,"Children under 6 stay free, and kids aged 6–12 are charged at 50% of the adult rate.",false,
kajuju,gq_024,How much is the Penthouse Loft on peak dates?,Rates,"Peak season for the Penthouse Loft is 15,500 KES single / 16,500 KES double per night.",false,
kajuju,gq_025,What’s the price difference between half board and full board?,Rates,"Half Board is 2,500 KES/person/day (breakfast + one main meal), while Full Board is 3,300 KES/person/day (all three meals) — a difference of 800 KES per person per day.",false,
kajuju,gq_026,How much is the workation rate for the Deluxe Room?,Rates,"Under the Workation package, the Deluxe Room with Balcony is 12,500 KES single / 15,000 KES double per night. I’ll flag that this differs from our standard weekday rate (10,500 KES single) — the workation rate applies specifically to that package.",false,Tests handling of the documented rate discrepancy rather than silently picking one number.
kajuju,gq_027,Is there a discount for staying a week or more?,Rates,"Yes, stays of 7+ nights get discounted nightly rates with flexible meal arrangements — I don’t have an exact percentage on file, so I’d suggest reaching out directly for a custom monthly quote.",false,Must not invent a specific discount percentage.
kajuju,gq_028,How much is a birthday cake?,Rates,"Homemade cakes start from around 1,800 KES depending on size (also available by the slice), with 48 hours’ notice required.",false,
kajuju,gq_029,What does the room decoration package cost?,Rates,"The room decoration package is around 3,500 KES, with 24 hours’ notice required.",false,
kajuju,gq_030,How much per person for a weekday day-gathering?,Rates,"Weekday day gatherings are 2,500 KES per person (weekend gatherings are 4,500 KES per person).",false,
kajuju,gq_031,Do you have a swimming pool?,FAQ,"Not yet — a pool was reportedly under construction as of our latest information, but I don’t have a completion date to share.",false,Tests the no-guessing rule on the pool ambiguity directly.
kajuju,gq_032,Is there wifi at the property?,FAQ,"Yes, we have fast Starlink WiFi throughout the property.",false,
kajuju,gq_033,Do you have a gym or spa on site?,FAQ,"Not on-site, but Nanyuki, about 15–20 minutes away by car, has a climbing gym and a spa/wellness center.",false,
kajuju,gq_034,Can I bring my dog?,FAQ,"Pets aren’t allowed inside the rooms, but leashed pets are welcome in the restaurant and outdoor areas — just let us know in advance.",false,
kajuju,gq_035,Is parking available and is it free?,FAQ,"Yes, we have free, secure, on-site parking.",false,
kajuju,gq_036,Do you ever have power outages?,FAQ,"No — the property is solar powered, so there are no outages.",false,
kajuju,gq_037,What time are quiet hours?,FAQ,Quiet hours run from 9:00 PM to 7:00 AM.,false,
