hotel,id,user_message,expected_intent
kajuju,gq_001,Do you have a room free for this weekend?,Availability
kajuju,gq_002,Is the Cottage available from Aug 14 to Aug 17?,Availability
kajuju,gq_003,Can I book the Penthouse Loft for next Friday and Saturday night?,Availability
kajuju,gq_004,I want to check if you have any rooms open in December.,Availability
kajuju,gq_005,Do you have space for 2 adults and 1 child next Tuesday?,Availability
kajuju,gq_006,Is the whole lodge available for a buyout over New Year?,Availability
kajuju,gq_007,Can I get a Twin Garden Room this Saturday only?,Availability
kajuju,gq_008,"I need a room for 6 people this weekend, what do you have?",Availability
kajuju,gq_009,Any last-minute availability for tonight?,Availability
kajuju,gq_010,Do you have anything free between the 3rd and 10th of next month?,Availability
kajuju,gq_011,I want to book the Deluxe Room with Balcony for our anniversary next month.,Availability
kajuju,gq_012,Can 3 couples book 3 separate rooms for the same weekend?,Availability
kajuju,gq_013,Is a room free tomorrow for just me?,Availability
kajuju,gq_014,"We are a family of 5, do you have something available in October half term?",Availability
kajuju,gq_015,Can you check if the Jade room is open this Friday?,Availability
kajuju,gq_016,How much is the Twin Garden Room on a weekday?,Rates
kajuju,gq_017,What are your weekend rates for the Deluxe Room with Balcony?,Rates
kajuju,gq_018,How much does the Cottage cost per night?,Rates
kajuju,gq_019,What would a full lodge buyout cost for New Year’s?,Rates
kajuju,gq_020,Is breakfast included in the room price?,Rates
kajuju,gq_021,How much extra for full board?,Rates
kajuju,gq_022,What’s the charge for an extra adult in the room?,Rates
kajuju,gq_023,Do kids stay free?,Rates
kajuju,gq_024,How much is the Penthouse Loft on peak dates?,Rates
kajuju,gq_025,What’s the price difference between half board and full board?,Rates
kajuju,gq_026,How much is the workation rate for the Deluxe Room?,Rates
kajuju,gq_027,Is there a discount for staying a week or more?,Rates
kajuju,gq_028,How much is a birthday cake?,Rates
kajuju,gq_029,What does the room decoration package cost?,Rates
kajuju,gq_030,How much per person for a weekday day-gathering?,Rates
kajuju,gq_031,Do you have a swimming pool?,FAQ
kajuju,gq_032,Is there wifi at the property?,FAQ
kajuju,gq_033,Do you have a gym or spa on site?,FAQ
kajuju,gq_034,Can I bring my dog?,FAQ
kajuju,gq_035,Is parking available and is it free?,FAQ
kajuju,gq_036,Do you ever have power outages?,FAQ
kajuju,gq_037,What time are quiet hours?,FAQ
kajuju,gq_038,Can I do an early check-in at noon?,FAQ
kajuju,gq_039,Is the road to the property okay for a normal sedan?,FAQ
kajuju,gq_040,Can I get a late checkout?,FAQ
kajuju,gq_041,What time does the restaurant stop serving food?,Restaurant
kajuju,gq_042,What’s on the breakfast menu?,Restaurant
kajuju,gq_043,Do you have vegetarian options?,Restaurant
kajuju,gq_044,How much is the mixed grill for two?,Restaurant
kajuju,gq_045,Can you cater to a nut allergy?,Restaurant
kajuju,gq_046,Is there a kids menu?,Restaurant
